Time 1.00, Process 0, STARTED
Time 1.00, Process 0, RESUMED
Time 1.50, Process 0, PAUSED
Time 1.50, Process 0, RESUMED
Time 1.95, Process 0, PAUSED
Time 1.95, Process 0, RESUMED
Time 2.36, Process 0, PAUSED
Time 2.36, Process 1, STARTED
Time 2.36, Process 1, RESUMED
Time 2.66, Process 1, PAUSED
Time 2.66, Process 1, RESUMED
Time 2.93, Process 1, PAUSED
Time 2.93, Process 1, RESUMED
Time 3.17, Process 1, PAUSED
Time 3.17, Process 2, STARTED
Time 3.17, Process 2, RESUMED
Time 3.27, Process 2, PAUSED
Time 3.27, Process 2, RESUMED
Time 3.36, Process 2, PAUSED
Time 3.36, Process 2, RESUMED
Time 3.44, Process 2, PAUSED
Time 3.44, Process 2, RESUMED
Time 3.51, Process 2, PAUSED
Time 3.51, Process 2, RESUMED
Time 3.58, Process 2, PAUSED
Time 3.58, Process 2, RESUMED
Time 3.64, Process 2, PAUSED
Time 3.64, Process 2, RESUMED
Time 3.69, Process 2, PAUSED
Time 3.69, Process 2, RESUMED
Time 3.74, Process 2, PAUSED
Time 3.74, Process 2, RESUMED
Time 3.78, Process 2, PAUSED
Time 3.78, Process 2, RESUMED
Time 3.82, Process 2, PAUSED
Time 3.82, Process 2, RESUMED
Time 3.85, Process 2, PAUSED
Time 3.85, Process 2, RESUMED
Time 3.89, Process 2, PAUSED
Time 3.89, Process 2, RESUMED
Time 3.91, Process 2, PAUSED
Time 3.91, Process 2, RESUMED
Time 3.94, Process 2, PAUSED
Time 3.94, Process 2, RESUMED
Time 3.96, Process 2, PAUSED
Time 3.96, Process 2, RESUMED
Time 3.98, Process 2, PAUSED
Time 3.98, Process 2, RESUMED
Time 4.00, Process 2, PAUSED
Time 4.00, Process 2, RESUMED
Time 4.02, Process 2, PAUSED
Time 4.02, Process 2, RESUMED
Time 4.03, Process 2, PAUSED
Time 4.03, Process 2, RESUMED
Time 4.05, Process 2, PAUSED
Time 4.05, Process 2, RESUMED
Time 4.06, Process 2, PAUSED
Time 4.06, Process 2, RESUMED
Time 4.07, Process 2, PAUSED
Time 4.07, Process 2, RESUMED
Time 4.08, Process 2, PAUSED
Time 4.08, Process 2, RESUMED
Time 4.09, Process 2, PAUSED
Time 4.09, Process 2, RESUMED
Time 4.10, Process 2, PAUSED
Time 4.10, Process 2, RESUMED
Time 4.10, Process 2, PAUSED
Time 4.10, Process 2, RESUMED
Time 4.11, Process 2, PAUSED
Time 4.11, Process 2, RESUMED
Time 4.12, Process 2, PAUSED
Time 4.12, Process 2, RESUMED
Time 4.12, Process 2, PAUSED
Time 4.12, Process 2, RESUMED
Time 4.13, Process 2, PAUSED
Time 4.13, Process 2, RESUMED
Time 4.13, Process 2, PAUSED
Time 4.13, Process 2, RESUMED
Time 4.13, Process 2, PAUSED
Time 4.13, Process 2, RESUMED
Time 4.14, Process 2, PAUSED
Time 4.14, Process 2, RESUMED
Time 4.14, Process 2, PAUSED
Time 4.14, Process 2, RESUMED
Time 4.14, Process 2, PAUSED
Time 4.14, Process 2, RESUMED
Time 4.15, Process 2, PAUSED
Time 4.15, Process 2, RESUMED
Time 4.15, Process 2, PAUSED
Time 4.15, Process 2, RESUMED
Time 4.15, Process 2, PAUSED
Time 4.15, Process 2, RESUMED
Time 4.15, Process 2, PAUSED
Time 4.15, Process 2, RESUMED
Time 4.15, Process 2, PAUSED
Time 4.15, Process 2, RESUMED
Time 4.15, Process 2, PAUSED
Time 4.15, Process 2, RESUMED
Time 4.16, Process 2, PAUSED
Time 4.16, Process 2, RESUMED
Time 4.16, Process 2, PAUSED
Time 4.16, Process 2, RESUMED
Time 4.16, Process 2, PAUSED
Time 4.16, Process 2, FINISHED
Time 4.16, Process 1, RESUMED
Time 4.38, Process 1, PAUSED
Time 4.38, Process 1, RESUMED
Time 4.57, Process 1, PAUSED
Time 4.57, Process 1, RESUMED
Time 4.75, Process 1, PAUSED
Time 4.75, Process 1, RESUMED
Time 4.91, Process 1, PAUSED
Time 4.91, Process 1, RESUMED
Time 5.05, Process 1, PAUSED
Time 5.05, Process 1, RESUMED
Time 5.18, Process 1, PAUSED
Time 5.18, Process 1, RESUMED
Time 5.30, Process 1, PAUSED
Time 5.30, Process 1, RESUMED
Time 5.40, Process 1, PAUSED
Time 5.40, Process 1, RESUMED
Time 5.50, Process 1, PAUSED
Time 5.50, Process 1, RESUMED
Time 5.58, Process 1, PAUSED
Time 5.58, Process 1, RESUMED
Time 5.66, Process 1, PAUSED
Time 5.66, Process 1, RESUMED
Time 5.73, Process 1, PAUSED
Time 5.73, Process 1, RESUMED
Time 5.79, Process 1, PAUSED
Time 5.79, Process 1, RESUMED
